Assembly Accession	Organism Name	Organism Taxonomic ID	Assembly BioProject Accession	Assembly BioSample Accession	Assembly Name	Organism Infraspecific Names Strain	Assembly BioSample Strain 	Assembly Sequencing Tech	Assembly Stats Total Number of Chromosomes	Assembly Stats Total Sequence Length	Assembly Stats Genome Coverage	Assembly BioSample Project name  	CheckM completeness	CheckM completeness percentile	CheckM contamination	Assembly Release Date
GCF_040194615.2	Xanthomonas campestris	339	PRJNA991952	SAMN39908788	ASM4019461v2	WHRI 3892A	WHRI 3892A	Illumina NovaSeq; Oxford Nanopore PromethION	1	5126824	300.0x		99.37	85.82202	0.9	2024-08-31
GCF_040194835.2	Xanthomonas campestris	339	PRJNA991952	SAMN39908783	ASM4019483v2	WHRI 10255	WHRI 10255	Illumina NovaSeq; Oxford Nanopore PromethION	2	5046926	300.0x		97.59	8.597285	1.44	2024-08-31
GCF_040194535.2	Xanthomonas campestris pv. armoraciae	329463	PRJNA991952	SAMN40354514	ASM4019453v2	WHRI 8093	WHRI 8093	Illumina NovaSeq; Oxford Nanopore PromethION	1	4978948	300.0x		98.42	26.395174	1.19	2024-08-31
GCF_012848175.1	Xanthomonas campestris pv. badrii	149696	PRJNA622823	SAMN14601050	ASM1284817v1	NEB122	NEB122	PacBio RSII	1	4955824	105.5x		94.18	1.9607843	2.96	2020-04-27
GCF_020813315.3	Xanthomonas campestris pv. barbareae	461407	PRJNA774128	SAMN22552839	ASM2081331v3	NCPPB 983	NCPPB 983	Illumina NovaSeq; Oxford Nanopore MinION	1	5056482	83.0x		98.32	23.076923	1.09	2024-09-03
GCF_002879955.1	Xanthomonas campestris pv. campestris	340	PRJNA428847	SAMN08322979	ASM287995v1	3811	3811	PacBio; Illumina MiSeq	1	5072566	178.0x		99.11	66.51584	0.84	2018-01-15
GCF_009177345.1	Xanthomonas campestris pv. campestris	340	PRJDB8187	SAMD00166935	ASM917734v1	MAFF302021	MAFF302021	PacBio RSII	1	5048651	150.0x	Complete genome sequence of Xanthomonas campestris pv. campestris	96.61	5.2790346	0.73	2019-10-02
GCF_021459985.1	Xanthomonas campestris pv. campestris	340	PRJNA785926	SAMN23597367	ASM2145998v1	SB80	SB80	Oxford Nanopore GridION	1	5129762	136.0x		96.81	5.4298644	1.21	2022-01-13
GCF_021777195.1	Xanthomonas campestris pv. campestris	340	PRJNA694561	SAMN17527558	ASM2177719v1	GSXT20191014	GSXT20191014	Oxford Nanopore	1	4975509	80.0x		98.56	32.579185	1.21	2022-02-01
GCF_021777455.1	Xanthomonas campestris pv. campestris	340	PRJNA694561	SAMN17527416	ASM2177745v1	BJSJQ20200612	BJSJQ20200612	Oxford Nanopore	1	5115807	80.0x		99.25	75.86727	1.21	2022-02-01
GCF_024298585.1	Xanthomonas campestris pv. campestris	340	PRJNA855557	SAMN29495171	ASM2429858v1	CN02	CN02	Oxford Nanopore GridION	1	5085725	133.0x		97.57	8.446456	1.21	2022-07-18
GCF_024298605.1	Xanthomonas campestris pv. campestris	340	PRJNA855560	SAMN29495283	ASM2429860v1	CN05	CN05	Oxford Nanopore GridION	2	5111232	109.0x		96.29	4.223228	1.31	2022-07-18
GCF_024298625.1	Xanthomonas campestris pv. campestris	340	PRJNA855561	SAMN29495284	ASM2429862v1	CN06	CN06	Oxford Nanopore GridION	2	5106265	165.0x		97.44	7.8431373	1.12	2022-07-18
GCF_024298645.1	Xanthomonas campestris pv. campestris	340	PRJNA855563	SAMN29495304	ASM2429864v1	CN08	CN08	Oxford Nanopore GridION	2	5072102	140.0x		97.77	15.535445	1.42	2022-07-18
GCF_024298665.1	Xanthomonas campestris pv. campestris	340	PRJNA855564	SAMN29495305	ASM2429866v1	CN13	CN13	Oxford Nanopore GridION	2	5200807	83.0x		97.9	16.440422	1.83	2022-07-18
GCF_024298685.1	Xanthomonas campestris pv. campestris	340	PRJNA855562	SAMN29495303	ASM2429868v1	CN07	CN07	Oxford Nanopore GridION	2	5198064	153.0x		96.5	4.6757164	1.1	2022-07-18
GCF_025853835.1	Xanthomonas campestris pv. campestris	340	PRJNA888856	SAMN31222377	ASM2585383v1	XY1-1	XY1-1	Oxford Nanopore MinION; Illumina	2	5120709	139.0x		98.52	31.22172	1.76	2022-10-26
GCF_028749545.1	Xanthomonas campestris pv. campestris	340	PRJNA689092	SAMN17198956	ASM2874954v1	CFBP6943	CFBP6943	PacBio Sequel	2	5015005	715.0x		98.81	47.51131	1.72	2023-02-21
GCF_028749705.1	Xanthomonas campestris pv. campestris	340	PRJNA689092	SAMN17198949	ASM2874970v1	CFBP12825	CFBP12825	PacBio Sequel	1	5024671	1030.0x		99.25	75.86727	1.32	2023-02-21
GCF_028749765.1	Xanthomonas campestris pv. campestris	340	PRJNA689092	SAMN17198945	ASM2874976v1	10108	10108	PacBio Sequel	1	5114786	195.0x		99.4	93.96682	1.21	2023-02-21
GCF_028749785.1	Xanthomonas campestris pv. campestris	340	PRJNA689092	SAMN17198944	ASM2874978v1	08290	08290	PacBio Sequel	2	5147549	304.0x		97.92	16.74208	1.4	2023-02-21
GCF_028749805.1	Xanthomonas campestris pv. campestris	340	PRJNA689092	SAMN17198942	ASM2874980v1	13108G	13108G	PacBio Sequel	2	5214964	735.0x		99.02	62.7451	1.51	2023-02-21
GCF_028749825.1	Xanthomonas campestris pv. campestris	340	PRJNA689092	SAMN17198941	ASM2874982v1	12112	12112	PacBio Sequel	4	5231739	339.0x		98.77	44.042233	1.56	2023-02-21
GCF_028749845.1	Xanthomonas campestris pv. campestris	340	PRJNA689092	SAMN17198943	ASM2874984v1	10090	10090	PacBio Sequel	1	5120965	299.0x		99.4	93.96682	1.21	2023-02-21
GCF_028749865.1	Xanthomonas campestris pv. campestris	340	PRJNA689092	SAMN17198938	ASM2874986v1	0792	0792	PacBio Sequel	1	5134324	256.0x		99.23	74.35897	1.2	2023-02-21
GCF_028749885.1	Xanthomonas campestris pv. campestris	340	PRJNA689092	SAMN17198940	ASM2874988v1	12049	12049	PacBio Sequel	2	5289785	286.0x		98.62	35.444946	1.69	2023-02-21
GCF_028749905.1	Xanthomonas campestris pv. campestris	340	PRJNA689092	SAMN17198939	ASM2874990v1	08284	08284	PacBio Sequel	2	5078072	233.0x		97.61	8.898944	1.18	2023-02-21
GCF_028749925.1	Xanthomonas campestris pv. campestris	340	PRJNA689092	SAMN17198936	ASM2874992v1	0659	0659	PacBio Sequel	1	5134501	321.0x		99.2	72.54902	1.2	2023-02-21
GCF_028749945.1	Xanthomonas campestris pv. campestris	340	PRJNA689092	SAMN17198937	ASM2874994v1	0793	0793	PacBio Sequel	1	5134330	342.0x		99.23	74.35897	1.2	2023-02-21
GCF_028750015.1	Xanthomonas campestris pv. campestris	340	PRJNA689092	SAMN17198934	ASM2875001v1	10103	10103	PacBio Sequel	2	5118763	176.0x		97.79	15.686275	1.59	2023-02-21
GCF_028750035.1	Xanthomonas campestris pv. campestris	340	PRJNA689092	SAMN17198933	ASM2875003v1	08288	08288	PacBio Sequel	1	5106871	304.0x		97.92	16.74208	1.1	2023-02-21
GCF_028750155.1	Xanthomonas campestris pv. campestris	340	PRJNA689092	SAMN17198927	ASM2875015v1	08305	08305	PacBio Sequel	2	5069645	323.0x		98.83	48.86878	1.1	2023-02-21
GCF_028750355.1	Xanthomonas campestris pv. campestris	340	PRJNA689092	SAMN17198923	ASM2875035v1	10008	10008	PacBio Sequel	3	5233120	959.0x		99.17	70.588234	1.4	2023-02-21
GCF_028750375.1	Xanthomonas campestris pv. campestris	340	PRJNA689092	SAMN17198924	ASM2875037v1	11085	11085	PacBio Sequel	2	5150972	432.0x		98.44	26.998491	1.17	2023-02-21
GCF_028750395.1	Xanthomonas campestris pv. campestris	340	PRJNA689092	SAMN17198922	ASM2875039v1	10006	10006	PacBio Sequel	3	5233128	429.0x		99.13	69.23077	1.4	2023-02-21
GCF_028750415.1	Xanthomonas campestris pv. campestris	340	PRJNA689092	SAMN17198918	ASM2875041v1	28-1	28-1	PacBio Sequel	1	4940916	561.0x		99.18	72.096535	0.88	2023-02-21
GCF_028750435.1	Xanthomonas campestris pv. campestris	340	PRJNA689092	SAMN17198919	ASM2875043v1	55-1	55-1	PacBio Sequel	1	5051497	788.0x		99.2	72.54902	1.08	2023-02-21
GCF_028750455.1	Xanthomonas campestris pv. campestris	340	PRJNA689092	SAMN17198920	ASM2875045v1	55-2	55-2	PacBio Sequel	1	5051483	857.0x		98.87	51.13122	1.08	2023-02-21
GCF_028750515.1	Xanthomonas campestris pv. campestris	340	PRJNA689092	SAMN17198915	ASM2875051v1	27-10	27-10	PacBio Sequel	1	4939448	535.0x		99.18	72.096535	0.88	2023-02-21
GCF_028750535.1	Xanthomonas campestris pv. campestris	340	PRJNA689092	SAMN17198917	ASM2875053v1	27-9	27-9	PacBio Sequel	1	4940640	576.0x		99.12	68.77828	0.88	2023-02-21
GCF_028750555.1	Xanthomonas campestris pv. campestris	340	PRJNA689092	SAMN17198916	ASM2875055v1	27-6	27-6	PacBio Sequel	1	4940927	600.0x		99.18	72.096535	0.88	2023-02-21
GCF_028750575.1	Xanthomonas campestris pv. campestris	340	PRJNA689092	SAMN17198914	ASM2875057v1	25-4	25-4	PacBio Sequel	1	4939451	597.0x		99.18	72.096535	0.88	2023-02-21
GCF_028750595.1	Xanthomonas campestris pv. campestris	340	PRJNA689092	SAMN17198913	ASM2875059v1	15-1	15-1	PacBio Sequel	1	4940857	596.0x		99.12	68.77828	0.88	2023-02-21
GCF_028750615.1	Xanthomonas campestris pv. campestris	340	PRJNA689092	SAMN17198911	ASM2875061v1	42-2	42-2	PacBio Sequel	2	5035174	527.0x		98.96	57.767723	1.34	2023-02-21
GCF_028750635.1	Xanthomonas campestris pv. campestris	340	PRJNA689092	SAMN17198912	ASM2875063v1	42-4	42-4	PacBio Sequel	1	4982573	624.0x		98.91	54.44947	1.04	2023-02-21
GCF_028750655.1	Xanthomonas campestris pv. campestris	340	PRJNA689092	SAMN17198910	ASM2875065v1	42-1	42-1	PacBio Sequel	2	5035152	828.0x		98.96	57.767723	1.34	2023-02-21
GCF_028751215.1	Xanthomonas campestris pv. campestris	340	PRJNA689092	SAMN17198909	ASM2875121v1	66-2	66-2	PacBio Sequel	1	5029743	662.0x		97.89	16.289593	1.01	2023-02-21
GCF_028751235.1	Xanthomonas campestris pv. campestris	340	PRJNA689092	SAMN17198908	ASM2875123v1	42-3	42-3	PacBio Sequel	1	5020217	604.0x		98.41	26.244345	1.01	2023-02-21
GCF_028751255.1	Xanthomonas campestris pv. campestris	340	PRJNA689092	SAMN17198907	ASM2875125v1	33-5	33-5	PacBio Sequel	1	5024665	662.0x		98.11	19.004524	1.01	2023-02-21
GCF_028751275.1	Xanthomonas campestris pv. campestris	340	PRJNA689092	SAMN17198906	ASM2875127v1	33-4	33-4	PacBio Sequel	1	5024595	694.0x		98.41	26.244345	1.01	2023-02-21
GCF_028751295.1	Xanthomonas campestris pv. campestris	340	PRJNA689092	SAMN17198905	ASM2875129v1	33-2	33-2	PacBio Sequel	1	5024641	662.0x		98.4	25.490196	1.01	2023-02-21
GCF_028751315.1	Xanthomonas campestris pv. campestris	340	PRJNA689092	SAMN17198904	ASM2875131v1	33-1	33-1	PacBio Sequel	2	5011371	702.0x		99.05	64.40422	1.34	2023-02-21
GCF_028751335.1	Xanthomonas campestris pv. campestris	340	PRJNA689092	SAMN17198903	ASM2875133v1	29-6	29-6	PacBio Sequel	1	4942176	558.0x		99.18	72.096535	0.88	2023-02-21
GCF_028751355.1	Xanthomonas campestris pv. campestris	340	PRJNA689092	SAMN17198902	ASM2875135v1	29-5	29-5	PacBio Sequel	1	4944847	676.0x		99.18	72.096535	0.88	2023-02-21
GCF_028751375.1	Xanthomonas campestris pv. campestris	340	PRJNA689092	SAMN17198900	ASM2875137v1	39-3	39-3	PacBio Sequel	2	5088348	779.0x		98.84	49.924583	1.33	2023-02-21
GCF_028751395.1	Xanthomonas campestris pv. campestris	340	PRJNA689092	SAMN17198901	ASM2875139v1	40-2	40-2	PacBio Sequel	1	4929060	513.0x		99.15	69.98492	0.88	2023-02-21
GCF_028751435.1	Xanthomonas campestris pv. campestris	340	PRJNA689092	SAMN17198899	ASM2875143v1	30-1	30-1	PacBio Sequel	1	5020213	647.0x		98.29	22.021116	1.01	2023-02-21
GCF_028751465.1	Xanthomonas campestris pv. campestris	340	PRJNA689092	SAMN17198898	ASM2875146v1	54-3	54-3	PacBio Sequel	1	5051489	751.0x		99.15	69.98492	1.08	2023-02-21
GCF_028751505.1	Xanthomonas campestris pv. campestris	340	PRJNA689092	SAMN17198897	ASM2875150v1	54-2	54-2	PacBio Sequel	1	5002040	952.0x		99.11	66.51584	0.93	2023-02-21
GCF_030848325.1	Xanthomonas campestris pv. campestris	340	PRJNA965954	SAMN34510317	ASM3084832v1	CFBP 9145	CFBP 9145	Oxford Nanopore MinION; llumina Novaseq	1	5204395	299.0x		99.12	68.77828	2.18	2023-08-21
GCF_040193835.2	Xanthomonas campestris pv. campestris	340	PRJNA982295	SAMN39785610	ASM4019383v2	WHRI 8955	WHRI 8955	Illumina NovaSeq; Oxford Nanopore PromethION	1	4919644	300.0x		99.31	84.162895	0.9	2024-08-31
GCF_040194035.2	Xanthomonas campestris pv. campestris	340	PRJNA982295	SAMN39785596	ASM4019403v2	WHRI 5812	WHRI 5812	Illumina NovaSeq; Oxford Nanopore PromethION	1	5019889	300.0x		99.24	74.81146	1.13	2024-08-31
GCF_040194315.2	Xanthomonas campestris pv. campestris	340	PRJNA982295	SAMN39785611	ASM4019431v2	WHRI 8956	WHRI 8956	Illumina NovaSeq; Oxford Nanopore PromethION	1	5059542	300.0x		98.44	26.998491	1.21	2024-08-31
GCF_040194335.2	Xanthomonas campestris pv. campestris	340	PRJNA982295	SAMN39785579	ASM4019433v2	WHRI 3834A	WHRI 3834A	Illumina NovaSeq; Oxford Nanopore PromethION	1	4993449	300.0x		99.24	74.81146	1.13	2024-08-31
GCF_002776735.1	Xanthomonas campestris pv. campestris str. CN03	1358004	PRJNA211759	SAMN02645665	ASM277673v1	CN03	CN03	PacBio	2	5111737	140.0x		98.61	34.6908	2.33	2017-11-16
GCF_002776775.1	Xanthomonas campestris pv. campestris str. CN12	1358017	PRJEB4853	SAMN05791232	ASM277677v1	CN12	CN12	PacBio	1	5115137	107.0x		98.58	33.48416	1.21	2017-11-16
GCF_000401735.2	Xanthomonas campestris pv. campestris str. CN14	1281282	PRJNA185972	SAMN02469931	ASM40173v2	CN14	CN14	PacBio	2	5082555	60.0x		97.72	9.653092	1.83	2017-11-16
GCF_000403575.2	Xanthomonas campestris pv. campestris str. CN15	1281283	PRJNA185973	SAMN02469928	ASM40357v2	CN15	CN15	PacBio	3	5114892	100.0x		97.76	10.10558	1.66	2017-11-16
GCF_002776715.1	Xanthomonas campestris pv. campestris str. CN17	1358015	PRJNA211780	SAMN02645662	ASM277671v1	CN17	CN17	PacBio	1	5122268	80.0x		99.04	63.650074	2.14	2017-11-16
GCF_002776835.1	Xanthomonas campestris pv. campestris str. CN18	1358019	PRJNA343742	SAMN05791239	ASM277683v1	CN18	CN18	PacBio	4	5261244	106.0x		99.26	76.621414	3.03	2017-11-16
GCF_041463605.1	Xanthomonas campestris pv. fici	487866	PRJNA1129842	SAMN42175583	NCPPB3796v1_ONT	NCPPB 3796	NCPPB 3796	Illumina NovaSeq; Oxford Nanopore PromethION	2	5055457	300.0x		99.69	79.38145	0.76	2024-08-28
GCF_041463615.1	Xanthomonas campestris pv. fici	487866	PRJNA1129842	SAMN42175582	NCPPB3795v1_ONT	NCPPB 3795	NCPPB 3795	Illumina NovaSeq; Oxford Nanopore PromethION	3	4963467	300.0x		99.88	98.96907	0.65	2024-08-28
GCF_041463625.1	Xanthomonas campestris pv. fici	487866	PRJNA1129842	SAMN42175581	NCPPB2372v1_ONT	NCPPB 2372	NCPPB 2372	Illumina NovaSeq; Oxford Nanopore PromethION	3	4984018	300.0x		99.69	79.38145	0.68	2024-08-28
GCF_041463635.1	Xanthomonas campestris pv. fici	487866	PRJNA1129842	SAMN42175584	NCPPB3797v1_ONT	NCPPB 3797	NCPPB 3797	Illumina NovaSeq; Oxford Nanopore PromethION	2	5058119	300.0x		99.69	79.38145	0.76	2024-08-28
GCF_041463645.1	Xanthomonas campestris pv. fici	487866	PRJNA1129842	SAMN42175586	NCPPB3887v1_ONT	NCPPB 3887	NCPPB 3887	Illumina NovaSeq; Oxford Nanopore PromethION	2	5270109	300.0x		99.17	10.824742	0.07	2024-08-28
GCF_041463755.1	Xanthomonas campestris pv. fici	487866	PRJNA1129842	SAMN42175585	NCPPB3886v1_ONT	NCPPB 3886	NCPPB 3886	Illumina NovaSeq; Oxford Nanopore PromethION	2	5275690	300.0x		99.17	10.824742	0.07	2024-08-28
GCF_020008105.1	Xanthomonas campestris pv. incanae	92826	PRJNA689092	SAMN17198921	ASM2000810v1	18048	18048	PacBio Sequel	1	4978509	423.0x		99.02	62.7451	0.85	2021-09-16
GCF_028749605.1	Xanthomonas campestris pv. incanae	92826	PRJNA689092	SAMN17198953	ASM2874960v1	CFBP1606	CFBP1606	PacBio Sequel	2	5045903	783.0x		97.77	15.535445	1.44	2023-02-21
GCF_028749645.1	Xanthomonas campestris pv. incanae	92826	PRJNA689092	SAMN17198950	ASM2874964v1	CFBP1371	CFBP1371	PacBio Sequel	1	4951969	772.0x		98.49	30.015083	1.4	2023-02-21
GCF_028749665.1	Xanthomonas campestris pv. incanae	92826	PRJNA689092	SAMN17198951	ASM2874966v1	CFBP6690	CFBP6690	PacBio Sequel	2	4869826	687.0x		98.3	22.473604	1.63	2023-02-21
GCF_028750055.1	Xanthomonas campestris pv. incanae	92826	PRJNA689092	SAMN17198932	ASM2875005v1	8-14	8-14	PacBio Sequel	2	5093527	330.0x		98.91	54.44947	1.46	2023-02-21
GCF_028750095.1	Xanthomonas campestris pv. incanae	92826	PRJNA689092	SAMN17198930	ASM2875009v1	4053	4053	PacBio Sequel	2	5053523	202.0x		98.97	58.37104	1.49	2023-02-21
GCF_028750115.1	Xanthomonas campestris pv. incanae	92826	PRJNA689092	SAMN17198929	ASM2875011v1	5057	5057	PacBio Sequel	2	5110327	338.0x		98.79	47.209652	1.24	2023-02-21
GCF_028750275.1	Xanthomonas campestris pv. incanae	92826	PRJNA689092	SAMN17198926	ASM2875027v1	16-8	16-8	PacBio Sequel	1	5043528	504.0x		99.03	63.499245	0.86	2023-02-21
GCF_013388375.1	Xanthomonas campestris pv. raphani	359385	PRJNA641237	SAMN15347475	ASM1338837v1	MAFF106181	MAFF106181	PacBio RSII; Illumina HiSeq	1	4942039	652.0x		99.08	65.91252	1.19	2020-07-04
GCF_028749565.1	Xanthomonas campestris pv. raphani	359385	PRJNA689092	SAMN17198955	ASM2874956v1	5055	5055	PacBio Sequel	1	4906217	723.0x		98.89	53.092007	0.89	2023-02-21
GCF_028749685.1	Xanthomonas campestris pv. raphani	359385	PRJNA689092	SAMN17198948	ASM2874968v1	719	719	PacBio Sequel	1	4928562	739.0x		98.93	54.751133	1.19	2023-02-21
GCF_028749725.1	Xanthomonas campestris pv. raphani	359385	PRJNA689092	SAMN17198947	ASM2874972v1	609	609	PacBio Sequel	1	5089262	724.0x		98.89	53.092007	1.3	2023-02-21
GCF_028749745.1	Xanthomonas campestris pv. raphani	359385	PRJNA689092	SAMN17198946	ASM2874974v1	576	576	PacBio Sequel	1	4906199	945.0x		98.89	53.092007	0.89	2023-02-21
GCF_040616535.1	Xanthomonas cannabis	1885674	PRJNA977087	SAMN35449586	ASM4061653v1	DAR41331	DAR41331	Oxford Nanopore PromethION	1	4797729	74.4x		98.75	25	0.25	2024-07-12
GCF_040616435.1	Xanthomonas cannabis	1885674	PRJNA977087	SAMN35449590	ASM4061643v1	DAR82756	DAR82756	Oxford Nanopore PromethION	1	5020624	20.6x		99.28	75	1.37	2024-07-12
GCF_040616485.1	Xanthomonas cannabis	1885674	PRJNA977087	SAMN35449589	ASM4061648v1	DAR82752	DAR82752	Oxford Nanopore PromethION	1	5044257	51.6x		99.38	93.75	0.91	2024-07-12
GCF_040616495.1	Xanthomonas cannabis	1885674	PRJNA977087	SAMN35449588	ASM4061649v1	DAR82727	DAR82727	Oxford Nanopore PromethION	1	5043633	22.6x		99.38	93.75	0.96	2024-07-12
GCF_040616505.1	Xanthomonas cannabis	1885674	PRJNA977087	SAMN35449587	ASM4061650v1	DAR41374	DAR41374	Oxford Nanopore PromethION	1	5024343	54.4x		99.38	93.75	0.91	2024-07-12
GCF_015243835.1	Xanthomonas citri	346	PRJNA561801	SAMN12628543	ASM1524383v1	UnB-Xtec2D	UnB-Xtec2D	Oxford Nanopore MiniION; Illumina HiSeq	1	5153268	1227.0x		99.47	91.59159	0.51	2020-11-05
GCF_018831345.1	Xanthomonas citri	346	PRJNA454507	SAMN08374169	ASM1883134v1	T21	T21	PacBio	2	5320076	74.2x		99.44	89.189186	0.75	2021-06-10
GCF_018831365.1	Xanthomonas citri	346	PRJNA454507	SAMN08374168	ASM1883136v1	M11	M11	PacBio	2	5156055	100.9x		99.63	99.0991	0.25	2021-06-10
GCF_019434355.1	Xanthomonas citri	346	PRJNA644481	SAMN15461539	ASM1943435v1	T4	T4	Oxford Nanopore;Illumina	3	5606038	213.0x		98.98	70.27027	1.87	2021-08-02
GCF_040202415.2	Xanthomonas citri	346	PRJNA991976	SAMN40354557	ASM4020241v2	WHRI 6104	WHRI 6104	Illumina NovaSeq; Oxford Nanopore PromethION	4	5145479	300.0x		97.97	25.825827	0.12	2024-09-12
GCF_040142795.1	Xanthomonas citri pv. anacardii	454595	PRJNA854066	SAMN41265889	CCRMTAQ13.2.0	CCRMTAQ13	CCRMTAQ13	Oxford Nanopore MinION	1	5086757	300.0x		97.52	15.615616	0.46	2024-06-13
GCF_001610795.1	Xanthomonas citri pv. aurantifolii	76802	PRJNA273983	SAMN03317020	ASM161079v1	FDC 1559	FDC 1559	PacBio	3	5272646	150.0x		97.16	9.309309	0.39	2016-04-05
GCF_001610815.1	Xanthomonas citri pv. aurantifolii	76802	PRJNA273983	SAMN03317027	ASM161081v1	FDC 1609	FDC 1609	PacBio	4	5279677	150.0x		98.19	32.432434	0.35	2016-04-05
GCF_001610915.1	Xanthomonas citri pv. aurantifolii	76802	PRJNA273983	SAMN03835495	ASM161091v1	1566	1566	PacBio	2	4962088	300.0x		97.22	10.51051	0.25	2016-04-05
GCF_002079965.1	Xanthomonas citri pv. aurantifolii	76802	PRJNA273983	SAMN03317022	ASM207996v1	FDC 1561	FDC 1561	PacBio	2	5026085	150.0x		98.14	30.33033	0.25	2017-04-05
GCF_001922045.1	Xanthomonas citri pv. citri	611301	PRJNA344031	SAMN05823143	ASM192204v1	LL074-4	LL074-4	PacBio	3	5471672	148.0x		99.04	71.47147	1.43	2016-12-27
GCF_001922065.1	Xanthomonas citri pv. citri	611301	PRJNA344031	SAMN05823145	ASM192206v1	LH276	LH276	PacBio	4	5495381	51.0x		98.88	60.36036	1.51	2016-12-27
GCF_001922085.1	Xanthomonas citri pv. citri	611301	PRJNA344031	SAMN05823144	ASM192208v1	LJ207-7	LJ207-7	PacBio	4	5505538	183.0x		98.6	45.945946	1.51	2016-12-27
GCF_001922105.1	Xanthomonas citri pv. citri	611301	PRJNA344031	SAMN05823148	ASM192210v1	LH201	LH201	PacBio	3	5463329	69.0x		98.6	45.945946	1.43	2016-12-27
GCF_002139955.1	Xanthomonas citri pv. citri	611301	PRJNA381640	SAMN06685654	ASM213995v1	TX160149	TX160149	PacBio RSII	4	5575416	226.0x		98.88	60.36036	0.54	2017-05-15
GCF_002139975.1	Xanthomonas citri pv. citri	611301	PRJNA381640	SAMN06685652	ASM213997v1	TX160042	TX160042	PacBio RSH	3	5501406	332.0x		99.13	77.17718	0.42	2017-05-15
GCF_002139995.1	Xanthomonas citri pv. citri	611301	PRJNA381640	SAMN06685696	ASM213999v1	TX160197	TX160197	PacBio RSII	3	5514420	122.0x		99.13	77.17718	0.42	2017-05-15
GCF_002952295.1	Xanthomonas citri pv. citri	611301	PRJNA401937	SAMN07611881	ASM295229v1	03-1638-1-1	03-1638-1-1	PacBio	3	5497729	50.0x		98.68	49.84985	1.43	2018-02-06
GCF_016801615.1	Xanthomonas citri pv. citri	611301	PRJNA657081	SAMN15814998	ASM1680161v1	DAR84832	DAR84832	Oxford Nanopore MiniION; Illumina HiSeq	5	5385815	40.0x		98.56	44.144146	0.5	2021-02-02
GCF_016801635.1	Xanthomonas citri pv. citri	611301	PRJNA657081	SAMN15814999	ASM1680163v1	DAR73886	DAR73886	Oxford Nanopore MiniION; Illumina HiSeq	5	5371101	40.0x		98.56	44.144146	0.5	2021-02-02
GCF_016801655.1	Xanthomonas citri pv. citri	611301	PRJNA657081	SAMN15815000	ASM1680165v1	DAR73889	DAR73889	Oxford Nanopore MiniION; Illumina HiSeq	6	5596105	40.0x		99	70.57057	1.59	2021-02-02
GCF_016801675.1	Xanthomonas citri pv. citri	611301	PRJNA657081	SAMN15815001	ASM1680167v1	DAR72029	DAR72029	Oxford Nanopore MiniION; Illumina HiSeq	7	5550959	40.0x		98.38	35.135136	1.59	2021-02-02
GCF_016801695.1	Xanthomonas citri pv. citri	611301	PRJNA657081	SAMN15815002	ASM1680169v1	DAR73909	DAR73909	Oxford Nanopore MiniION; Illumina HiSeq	7	5552095	40.0x		97.2	10.21021	1.59	2021-02-02
GCF_019434315.1	Xanthomonas citri pv. citri	611301	PRJNA644481	SAMN15461540	ASM1943431v1	B2	B2	Oxford Nanopore;Illumina	3	5352820	300.0x		99.35	88.888885	0.37	2021-08-02
GCF_019434335.1	Xanthomonas citri pv. citri	611301	PRJNA644481	SAMN15461541	ASM1943433v1	SN3-3	SN3-3	Oxford Nanopore;Illumina	2	5256231	270.0x		98.84	55.255257	0.5	2021-08-02
GCF_023205075.1	Xanthomonas citri pv. citri	611301	PRJNA831364	SAMN27753378	ASM2320507v1	CQ13	CQ13	Illumina NovaSeq; Oxford Nanopore	3	5241545	1184.0x		99.23	85.285286	0.37	2022-05-02
GCF_002019265.2	Xanthomonas citri pv. durantae	487862	PRJNA298606	SAMN04145199	ASM201926v2	LMG696	LMG696	Oxford Nanopore MinION; Illumina MiSeq	5	5553161	131.0x		98.44	38.138138	0.83	2022-08-24
GCF_003999485.1	Xanthomonas citri pv. fuscans	366649	PRJNA289080	SAMN03842217	ASM399948v1	ISO118C1	ISO118C1	Illumina; PacBio	2	5357611	40.0x		97.73	19.21922	0.31	2019-01-08
GCF_003999505.1	Xanthomonas citri pv. fuscans	366649	PRJNA289080	SAMN03842216	ASM399950v1	ISO12C3	ISO12C3	Illumina; PacBio	2	5357175	40.0x		97.73	19.21922	0.31	2019-01-08
GCF_004000475.1	Xanthomonas citri pv. fuscans	366649	PRJNA289080	SAMN03842218	ASM400047v1	ISO118C5	ISO118C5	Illumina; PacBio	2	5357613	40.0x		97.73	19.21922	0.31	2019-01-08
GCF_017742815.1	Xanthomonas citri pv. fuscans	366649	PRJNA715109	SAMN18332097	ASM1774281v1	6165R(delta)tal22B	6165R(delta)tal22B	PacBio	2	5068405	60.0x		98.4	36.336338	0.25	2021-04-04
GCF_018831285.1	Xanthomonas citri pv. fuscans	366649	PRJNA454507	SAMN08374171	ASM1883128v1	M12	M12	PacBio	3	5141064	127.2x		98.15	30.63063	0.31	2021-06-10
GCF_018831325.1	Xanthomonas citri pv. fuscans	366649	PRJNA454507	SAMN08374170	ASM1883132v1	FH61	FH61	PacBio	3	5285875	42.9x		97.85	21.621622	0.25	2021-06-10
GCF_018831385.1	Xanthomonas citri pv. fuscans	366649	PRJNA454507	SAMN08374172	ASM1883138v1	PR8F	PR8F	PacBio	3	5302232	134.8x		97.91	23.723724	0.31	2021-06-10
